route_id,service_id,trip_id,trip_departure_time,trip_arrival_time,trip_headsign,trip_short_name,direction_id,shape_id,wheelchair_accessible,bikes_allowed
SGAB,sabado,hacia_sangabriel_sabado_11:00:00,11:00:00,12:20:00,San Gabriel,,1,hacia_sangabriel,1,2
SGAB,sabado,hacia_sangabriel_sabado_13:00:00,13:00:00,14:20:00,San Gabriel,,1,hacia_sangabriel,1,2
SGAB,sabado,hacia_sangabriel_sabado_14:30:00,14:30:00,15:50:00,San Gabriel,,1,hacia_sangabriel,1,2
SGAB,sabado,hacia_sangabriel_sabado_16:00:00,16:00:00,17:20:00,San Gabriel,,1,hacia_sangabriel,1,2
SGAB,sabado,hacia_sangabriel_sabado_17:00:00,17:00:00,18:20:00,San Gabriel,,1,hacia_sangabriel,1,2
SGAB,sabado,hacia_sangabriel_sabado_18:00:00,18:00:00,19:20:00,San Gabriel,,1,hacia_sangabriel,1,2
SGAB,sabado,hacia_sangabriel_sabado_19:00:00,19:00:00,20:20:00,San Gabriel,,1,hacia_sangabriel,1,2
SGAB,sabado,hacia_sangabriel_sabado_20:30:00,20:30:00,21:50:00,San Gabriel,,1,hacia_sangabriel,1,2
SGAB,sabado,hacia_sangabriel_sabado_22:30:00,22:30:00,23:50:00,San Gabriel,,1,hacia_sangabriel,1,2
SGAB,domingo,desde_sangabriel_domingo_04:30:00,04:30:00,5:50:00,San José,,0,desde_sangabriel,1,2
SGAB,domingo,desde_sangabriel_domingo_06:00:00,06:00:00,7:20:00,San José,,0,desde_sangabriel,1,2
SGAB,domingo,desde_sangabriel_domingo_07:30:00,07:30:00,8:50:00,San José,,0,desde_sangabriel,1,2
SGAB,domingo,desde_sangabriel_domingo_09:45:00,09:45:00,11:05:00,San José,,0,desde_sangabriel,1,2
SGAB,domingo,desde_sangabriel_domingo_11:00:00,11:00:00,12:20:00,San José,,0,desde_sangabriel,1,2
SGAB,domingo,desde_sangabriel_domingo_12:30:00,12:30:00,13:50:00,San José,,0,desde_sangabriel,1,2
SGAB,domingo,desde_sangabriel_domingo_14:30:00,14:30:00,15:50:00,San José,,0,desde_sangabriel,1,2
SGAB,domingo,desde_sangabriel_domingo_16:15:00,16:15:00,17:35:00,San José,,0,desde_sangabriel,1,2
SGAB,domingo,desde_sangabriel_domingo_18:30:00,18:30:00,19:50:00,San José,,0,desde_sangabriel,1,2
SGAB,domingo,desde_sangabriel_domingo_20:00:00,20:00:00,21:20:00,San José,,0,desde_sangabriel,1,2
SGAB,domingo,hacia_sangabriel_domingo_06:30:00,06:30:00,7:50:00,San Gabriel,,1,hacia_sangabriel,1,2
SGAB,domingo,hacia_sangabriel_domingo_09:00:00,09:00:00,10:20:00,San Gabriel,,1,hacia_sangabriel,1,2
SGAB,domingo,hacia_sangabriel_domingo_11:00:00,11:00:00,12:20:00,San Gabriel,,1,hacia_sangabriel,1,2
SGAB,domingo,hacia_sangabriel_domingo_13:00:00,13:00:00,14:20:00,San Gabriel,,1,hacia_sangabriel,1,2
SGAB,domingo,hacia_sangabriel_domingo_14:30:00,14:30:00,15:50:00,San Gabriel,,1,hacia_sangabriel,1,2
SGAB,domingo,hacia_sangabriel_domingo_15:45:00,15:45:00,17:05:00,San Gabriel,,1,hacia_sangabriel,1,2
SGAB,domingo,hacia_sangabriel_domingo_17:00:00,17:00:00,18:20:00,San Gabriel,,1,hacia_sangabriel,1,2
SGAB,domingo,hacia_sangabriel_domingo_18:30:00,18:30:00,19:50:00,San Gabriel,,1,hacia_sangabriel,1,2
