stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
SJ_0_07,SJ_0_07,Fábrica de Tamales La Vencedora,Fábrica De Tamales La Vencedora. Aserrí,9.85786,-84.094476,,,,,,
SJ_0_08,SJ_0_08,Puente Quebrada Suerre,Puente Quebrada Suerre. Aserrí,9.859576,-84.094175,,,,,,
SJ_0_09,SJ_0_09,Centro Médico Aserrí,Frente A Centro Médico Aserrí,9.861578,-84.093093,,,,,,
SJ_0_10,SJ_0_10,Parque Aserrí,Diagonal Parque Aserrí,9.863,-84.092151,,,,,,
SJ_0_11,SJ_0_11,Rest. Los Gallos De La Abuela,Rest. Los Gallos De La Abuela. Aserrí,9.864169,-84.090678,,,,,,
SJ_0_12,SJ_0_12,Ferretería Las Gravilias,Ferretería Las Gravilias Aserrí,9.865814,-84.088816,,,,,,
SJ_0_13,SJ_0_13,Cementerio de Aserrí,Frente a Cementerio De Aserrí,9.867406,-84.087049,,,,,,
SJ_0_14,SJ_0_14,Auto Repuestos Del Sur Aserrí,Contiguo a Auto Repuestos Del Sur. Aserrí,9.868344,-84.085112,,,,,,
SJ_0_15,SJ_0_15,Licorera Beto Fallas,"Contiguo a Licorera Beto Fallas, Aserrí",9.86978,-84.08212,,,,,,
SJ_0_16,SJ_0_16,Sport Fitness,Frente a Sport Fitness Aserrí,9.871293,-84.080344,,,,,,
SJ_0_17,SJ_0_17,Salón Comunal San Rafael Arriba,Frente al Salón Comunal Adi San Rafael Arriba,9.87484,-84.07729,,,,,,
SJ_0_18,SJ_0_18,El Boyero,"Frente a Rest. El Boyero, San Rafael Arriba",9.877783,-84.074946,,,,,,
SJ_0_19,SJ_0_19,Plaza del Sur,"Plaza Del Sur, San Rafael Arriba",9.879718,-84.073653,,,,,,
SJ_0_20,SJ_0_20,Antologías,"Contiguo a Bar & Rest. Antologias, San Rafael Arriba",9.881408,-84.070723,,,,,,
SJ_0_21,SJ_0_21,Mangueras y Fiteneria Bausan,"Frente a Mangueras Y Fitineria Bausan, San Rafael Arriba",9.881747,-84.069963,,,,,,
SJ_0_22,SJ_0_22,Maxi Palí San Miguel,"Maxi Palí San Miguel, Desamparados",9.885617,-84.065945,,,,,,
SJ_0_23,SJ_0_23,La Cueva,"La Cueva, Desamparados",9.889268,-84.064572,,,,,,
SJ_0_24,SJ_0_24,Megasuper Desamparados,"Megasuper, Desamparados",9.890999,-84.06421,,,,,,
SJ_0_25,SJ_0_25,Clínica Marcial Fallas Díaz,"Frente a Clínica Marcial Fallas Díaz, Desamparados",9.893594,-84.06424,,,,,,
SJ_0_26,SJ_0_26,Ciclo Ciclismo Actual,"Ciclo Ciclismo Actual, Desamparados",9.895896,-84.06434,,,,,,
SJ_0_27,SJ_0_27,Iglesia Católica de Desamparados,Costado norte Iglesia Católica de Desamparados,9.898044,-84.064575,,,,,,
SJ_0_28,SJ_0_28,Liceo Monseñor Rubén Odio,"Liceo Monseñor Rubén Odio Herrera, Desamparados",9.900487,-84.067733,,,,,,
SJ_0_29,SJ_0_29,Iglesia Cruzada de Fe,"Iglesia Evangelista Cruzada de Fe, Desamparados",9.904693,-84.069004,,,,,,
SJ_0_30,SJ_0_30,Plaza Mercados,"Distribuidora Plaza Mercados, San Francisco",9.908936,-84.0685,,,,,,
SJ_0_31,SJ_0_31,Casa De Las Baterias Parque de La Paz,"Casa De Las Baterias Parque De La Paz, San Francisco",9.911998,-84.068786,,,,,,
SJ_0_32,SJ_0_32,Burguer King Parque de La Paz,"Burger King Parque de La Paz, San Francisco",9.913706,-84.068826,,,,,,
SJ_0_33,SJ_0_33,Centro Comercial Terraza,Frente A Centro Comercial Terraza,9.917059,-84.070157,,,,,,
SJ_0_34,SJ_0_34,Multifamiliares Calderón Muñoz,"Multifamiliares Calderón Muñoz, San José",9.917059,-84.070157,,,,,,
SJ_0_35,SJ_0_35,Piscinas Plaza González Viquez,"Frente a Piscinas Plaza González Víquez, San José",9.924483,-84.073491,,,,,,
SJ_0_36,SJ_0_36,Centro Cultural Rubén Darío,"Contiguo al Centro Cultural Rubén Dario, González Víquez San José",9.924493,-84.074292,,,,,,
SG,SG,San Gabriel,Frente a la Escuela Gabriel Brenes Robles,1.0101,2.0202,,,,,,
SG_0_01,,,,1.0101,2.0202,,,,,,
SG_0_02,,,,1.0101,2.0202,,,,,,
SG_0_03,,,,1.0101,2.0202,,,,,,
SG_0_04,,,,1.0101,2.0202,,,,,,
...,,,,1.0101,2.0202,,,,,,
SG_1_01,,,,1.0101,2.0202,,,,,,
SG_1_02,,,,1.0101,2.0202,,,,,,
SG_1_03,,,,1.0101,2.0202,,,,,,
SG_1_04,,,,1.0101,2.0202,,,,,,
...,,,,1.0101,2.0202,,,,,,
LM,,Terminal Los Mangos,,1.0101,2.0202,,,,,,
LM_0_01,,,,1.0101,2.0202,,,,,,
LM_0_02,,,,1.0101,2.0202,,,,,,
LM_0_03,,,,1.0101,2.0202,,,,,,
LM_0_04,,,,1.0101,2.0202,,,,,,
...,,,,1.0101,2.0202,,,,,,
SI,,San Ignacio de Acosta centro,Costado norte de la Iglesia Católica de San Ignacio de Acosta,1.0101,2.0202,,,,,,
SI_0_01,,,,1.0101,2.0202,,,,,,
SI_0_02,,,,1.0101,2.0202,,,,,,
SI_0_03,,,,1.0101,2.0202,,,,,,
SI_0_04,,,,1.0101,2.0202,,,,,,
...,,,,1.0101,2.0202,,,,,,
SI_1_01,,,,1.0101,2.0202,,,,,,
