route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,shape_id,wheelchair_accessible,bikes_allowed
SGAB,entresemana,desde_sangabriel_entresemana_04:00:00,San José,,0,desde_sangabriel,1,2
SGAB,entresemana,desde_sangabriel_entresemana_04:40:00,San José,,0,desde_sangabriel,1,2
SGAB,entresemana,desde_sangabriel_entresemana_05:10:00,San José,,0,desde_sangabriel,1,2
SGAB,entresemana,desde_sangabriel_entresemana_05:40:00,San José,,0,desde_sangabriel,1,2
SGAB,entresemana,desde_sangabriel_entresemana_06:15:00,San José,,0,desde_sangabriel,1,2
SGAB,entresemana,desde_sangabriel_entresemana_06:50:00,San José,,0,desde_sangabriel,1,2
SGAB,entresemana,desde_sangabriel_entresemana_07:30:00,San José,,0,desde_sangabriel,1,2
SGAB,entresemana,desde_sangabriel_entresemana_08:30:00,San José,,0,desde_sangabriel,1,2
SGAB,entresemana,desde_sangabriel_entresemana_10:30:00,San José,,0,desde_sangabriel,1,2
SGAB,entresemana,desde_sangabriel_entresemana_12:00:00,San José,,0,desde_sangabriel,1,2
SGAB,entresemana,desde_sangabriel_entresemana_14:00:00,San José,,0,desde_sangabriel,1,2
SGAB,entresemana,desde_sangabriel_entresemana_16:00:00,San José,,0,desde_sangabriel,1,2
SGAB,entresemana,desde_sangabriel_entresemana_18:00:00,San José,,0,desde_sangabriel,1,2
SGAB,entresemana,desde_sangabriel_entresemana_20:00:00,San José,,0,desde_sangabriel,1,2
SGAB,entresemana,hacia_sangabriel_entresemana_06:30:00,San Gabriel,,1,hacia_sangabriel,1,2
SGAB,entresemana,hacia_sangabriel_entresemana_07:30:00,San Gabriel,,1,hacia_sangabriel,1,2
SGAB,entresemana,hacia_sangabriel_entresemana_09:30:00,San Gabriel,,1,hacia_sangabriel,1,2
SGAB,entresemana,hacia_sangabriel_entresemana_11:00:00,San Gabriel,,1,hacia_sangabriel,1,2
SGAB,entresemana,hacia_sangabriel_entresemana_13:00:00,San Gabriel,,1,hacia_sangabriel,1,2
SGAB,entresemana,hacia_sangabriel_entresemana_14:30:00,San Gabriel,,1,hacia_sangabriel,1,2
SGAB,entresemana,hacia_sangabriel_entresemana_15:45:00,San Gabriel,,1,hacia_sangabriel,1,2
SGAB,entresemana,hacia_sangabriel_entresemana_16:45:00,San Gabriel,,1,hacia_sangabriel,1,2
SGAB,entresemana,hacia_sangabriel_entresemana_17:10:00,San Gabriel,,1,hacia_sangabriel,1,2
SGAB,entresemana,hacia_sangabriel_entresemana_17:45:00,San Gabriel,,1,hacia_sangabriel,1,2
SGAB,entresemana,hacia_sangabriel_entresemana_18:15:00,San Gabriel,,1,hacia_sangabriel,1,2
SGAB,entresemana,hacia_sangabriel_entresemana_18:50:00,San Gabriel,,1,hacia_sangabriel,1,2
SGAB,entresemana,hacia_sangabriel_entresemana_19:30:00,San Gabriel,,1,hacia_sangabriel,1,2
SGAB,entresemana,hacia_sangabriel_entresemana_20:30:00,San Gabriel,,1,hacia_sangabriel,1,2
