trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
hacia_sangabriel_entresemana_12:30:00,12:30:00,12:30:00,SJ_1_00,1,,0,0,,1
hacia_sangabriel_entresemana_12:30:00,13:45:00,13:45:00,SG_1_15,2,,0,0,,0
hacia_sangabriel_entresemana_12:30:00,13:55:00,13:55:00,LM_1_07,3,,0,0,,0
hacia_sangabriel_entresemana_13:30:00,13:30:00,13:30:00,SJ_1_00,1,,0,0,,1
hacia_sangabriel_entresemana_13:30:00,14:45:00,14:45:00,SG_1_15,2,,0,0,,0
hacia_sangabriel_entresemana_13:30:00,14:55:00,14:55:00,LM_1_07,3,,0,0,,0
hacia_sangabriel_entresemana_14:30:00,14:30:00,14:30:00,SJ_1_00,1,,0,0,,1
hacia_sangabriel_entresemana_14:30:00,15:45:00,15:45:00,SG_1_15,2,,0,0,,0
hacia_sangabriel_entresemana_14:30:00,15:55:00,15:55:00,LM_1_07,3,,0,0,,0
hacia_sangabriel_entresemana_15:15:00,15:15:00,15:15:00,SJ_1_00,1,,0,0,,1
hacia_sangabriel_entresemana_15:15:00,16:30:00,16:30:00,SG_1_15,2,,0,0,,0
hacia_sangabriel_entresemana_15:15:00,16:40:00,16:40:00,LM_1_07,3,,0,0,,0
hacia_sangabriel_entresemana_15:45:00,15:45:00,15:45:00,SJ_1_00,1,,0,0,,1
hacia_sangabriel_entresemana_15:45:00,17:00:00,17:00:00,SG_1_15,2,,0,0,,0
hacia_sangabriel_entresemana_15:45:00,17:10:00,17:10:00,LM_1_07,3,,0,0,,0
hacia_sangabriel_entresemana_16:20:00,16:20:00,16:20:00,SJ_1_00,1,,0,0,,1
hacia_sangabriel_entresemana_16:20:00,17:35:00,17:35:00,SG_1_15,2,,0,0,,0
hacia_sangabriel_entresemana_16:20:00,17:45:00,17:45:00,LM_1_07,3,,0,0,,0
hacia_sangabriel_entresemana_16:50:00,16:50:00,16:50:00,SJ_1_00,1,,0,0,,1
hacia_sangabriel_entresemana_16:50:00,18:05:00,18:05:00,SG_1_15,2,,0,0,,0
hacia_sangabriel_entresemana_16:50:00,18:15:00,18:15:00,LM_1_07,3,,0,0,,0
hacia_sangabriel_entresemana_17:15:00,17:15:00,17:15:00,SJ_1_00,1,,0,0,,1
hacia_sangabriel_entresemana_17:15:00,18:30:00,18:30:00,SG_1_15,2,,0,0,,0
hacia_sangabriel_entresemana_17:15:00,18:40:00,18:40:00,LM_1_07,3,,0,0,,0
hacia_sangabriel_entresemana_17:50:00,17:50:00,17:50:00,SJ_1_00,1,,0,0,,1
hacia_sangabriel_entresemana_17:50:00,19:05:00,19:05:00,SG_1_15,2,,0,0,,0
hacia_sangabriel_entresemana_17:50:00,19:15:00,19:15:00,LM_1_07,3,,0,0,,0
hacia_sangabriel_entresemana_18:10:00,18:10:00,18:10:00,SJ_1_00,1,,0,0,,1
hacia_sangabriel_entresemana_18:10:00,19:25:00,19:25:00,SG_1_15,2,,0,0,,0
hacia_sangabriel_entresemana_18:10:00,19:35:00,19:35:00,LM_1_07,3,,0,0,,0
hacia_sangabriel_entresemana_18:40:00,18:40:00,18:40:00,SJ_1_00,1,,0,0,,1
hacia_sangabriel_entresemana_18:40:00,19:55:00,19:55:00,SG_1_15,2,,0,0,,0
hacia_sangabriel_entresemana_18:40:00,20:05:00,20:05:00,LM_1_07,3,,0,0,,0
hacia_sangabriel_entresemana_19:30:00,19:30:00,19:30:00,SJ_1_00,1,,0,0,,1
hacia_sangabriel_entresemana_19:30:00,20:45:00,20:45:00,SG_1_15,2,,0,0,,0
hacia_sangabriel_entresemana_19:30:00,20:55:00,20:55:00,LM_1_07,3,,0,0,,0
hacia_sangabriel_entresemana_20:30:00,20:30:00,20:30:00,SJ_1_00,1,,0,0,,1
hacia_sangabriel_entresemana_20:30:00,21:45:00,21:45:00,SG_1_15,2,,0,0,,0
