route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,shape_id,wheelchair_accessible,bikes_allowed
SGAB,sabado,hacia_sangabriel_sabado_15:30:00,San José > San Gabriel,,1,hacia_sangabriel,,1
SGAB,sabado,hacia_sangabriel_sabado_16:00:00,San José > San Gabriel,,1,hacia_sangabriel,,1
SGAB,sabado,hacia_sangabriel_sabado_17:00:00,San José > San Gabriel,,1,hacia_sangabriel,,1
SGAB,sabado,hacia_sangabriel_sabado_17:30:00,San José > San Gabriel,,1,hacia_sangabriel,,1
SGAB,sabado,hacia_sangabriel_sabado_18:00:00,San José > San Gabriel,,1,hacia_sangabriel,,1
SGAB,sabado,hacia_sangabriel_sabado_19:00:00,San José > San Gabriel,,1,hacia_sangabriel,,1
SGAB,sabado,hacia_sangabriel_sabado_20:30:00,San José > San Gabriel,,1,hacia_sangabriel,,1
SGAB,sabado,hacia_sangabriel_sabado_22:30:00,San José > San Gabriel,,1,hacia_sangabriel,,1
SGAB,domingo,desde_sangabriel_domingo_04:30:00,San Gabriel > San José,,0,desde_sangabriel,,1
SGAB,domingo,desde_sangabriel_domingo_06:00:00,San Gabriel > San José,,0,desde_sangabriel,,1
SGAB,domingo,desde_sangabriel_domingo_07:30:00,San Gabriel > San José,,0,desde_sangabriel,,1
SGAB,domingo,desde_sangabriel_domingo_09:00:00,San Gabriel > San José,,0,desde_sangabriel,,1
SGAB,domingo,desde_sangabriel_domingo_10:00:00,San Gabriel > San José,,0,desde_sangabriel,,1
SGAB,domingo,desde_sangabriel_domingo_11:00:00,San Gabriel > San José,,0,desde_sangabriel,,1
SGAB,domingo,desde_sangabriel_domingo_12:00:00,San Gabriel > San José,,0,desde_sangabriel,,1
SGAB,domingo,desde_sangabriel_domingo_14:30:00,San Gabriel > San José,,0,desde_sangabriel,,1
SGAB,domingo,desde_sangabriel_domingo_16:00:00,San Gabriel > San José,,0,desde_sangabriel,,1
SGAB,domingo,desde_sangabriel_domingo_18:30:00,San Gabriel > San José,,0,desde_sangabriel,,1
SGAB,domingo,desde_sangabriel_domingo_20:00:00,San Gabriel > San José,,0,desde_sangabriel,,1
SGAB,domingo,hacia_sangabriel_domingo_06:30:00,San José > San Gabriel,,1,hacia_sangabriel,,1
SGAB,domingo,hacia_sangabriel_domingo_08:30:00,San José > San Gabriel,,1,hacia_sangabriel,,1
SGAB,domingo,hacia_sangabriel_domingo_10:30:00,San José > San Gabriel,,1,hacia_sangabriel,,1
SGAB,domingo,hacia_sangabriel_domingo_12:30:00,San José > San Gabriel,,1,hacia_sangabriel,,1
SGAB,domingo,hacia_sangabriel_domingo_14:30:00,San José > San Gabriel,,1,hacia_sangabriel,,1
SGAB,domingo,hacia_sangabriel_domingo_16:00:00,San José > San Gabriel,,1,hacia_sangabriel,,1
SGAB,domingo,hacia_sangabriel_domingo_17:30:00,San José > San Gabriel,,1,hacia_sangabriel,,1
SGAB,domingo,hacia_sangabriel_domingo_18:30:00,San José > San Gabriel,,1,hacia_sangabriel,,1
SGAB,domingo,hacia_sangabriel_domingo_20:30:00,San José > San Gabriel,,1,hacia_sangabriel,,1
SGAB,domingo,hacia_sangabriel_domingo_22:30:00,San José > San Gabriel,,1,hacia_sangabriel,,1
ACOS,entresemana,desde_sanluis_entresemana_04:00:00,San Luis > San José,,0,desde_sanluis,,1
ACOS,entresemana,desde_sanluis_entresemana_04:45:00,San Luis > San José,,0,desde_sanluis,,1
ACOS,entresemana,desde_sanluis_entresemana_05:00:00,San Luis > San José,,0,desde_sanluis,,1
