fare_id,price,currency_type,payment_method,transfers,agency_id,transfer_duration
SGAB_minima,525,CRC,0,0,TSG,
SGAB_media,900,CRC,0,0,TSG,
SGAB_completa,1015,CRC,0,0,TSG,
ACOS_minima,565,CRC,0,0,TSG,
ACOS_media,945,CRC,0,0,TSG,
ACOS_completa,1115,CRC,0,0,TSG,
JORC_completa,945,CRC,0,0,TSG,
MRED_jorco,185,CRC,0,0,TSG,
MRED_acosta,275,CRC,0,0,TSG,
MRED_media,750,CRC,0,0,TSG,
MRED_completa,1130,CRC,0,0,TSG,
TURR_completa,930,CRC,0,0,TSG,
